




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac.intersect.bed.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac.intersect.bed.genes_uniq.txt (2231)	H3K27ac.intersect.bed.genes_uniq.txt (expected)	H3K27ac.intersect.bed.genes_uniq.txt (over/under)	H3K27ac.intersect.bed.genes_uniq.txt (fold Enrichment)	H3K27ac.intersect.bed.genes_uniq.txt (raw P-value)	H3K27ac.intersect.bed.genes_uniq.txt (FDR)
monocarboxylic acid catabolic process (GO:0072329)	114	26	12.35	+	2.11	1.39E-03	4.74E-02
methylation (GO:0032259)	313	55	33.91	+	1.62	1.38E-03	4.72E-02
aging (GO:0007568)	296	53	32.06	+	1.65	1.37E-03	4.68E-02
regulation of centrosome duplication (GO:0010824)	45	14	4.87	+	2.87	1.35E-03	4.64E-02
DNA conformation change (GO:0071103)	312	55	33.80	+	1.63	1.35E-03	4.62E-02
regulation of protein ubiquitination (GO:0031396)	213	41	23.07	+	1.78	1.32E-03	4.53E-02
nuclear chromosome segregation (GO:0098813)	227	43	24.59	+	1.75	1.30E-03	4.48E-02
cell-cell adhesion (GO:0098609)	515	32	55.79	-	.57	1.28E-03	4.43E-02
regulation of chromosome segregation (GO:0051983)	90	22	9.75	+	2.26	1.25E-03	4.33E-02
neutrophil activation involved in immune response (GO:0002283)	488	79	52.86	+	1.49	1.23E-03	4.28E-02
fatty acid beta-oxidation (GO:0006635)	58	17	6.28	+	2.71	1.20E-03	4.19E-02
response to extracellular stimulus (GO:0009991)	531	85	57.52	+	1.48	1.18E-03	4.10E-02
leukocyte degranulation (GO:0043299)	507	82	54.92	+	1.49	1.17E-03	4.08E-02
programmed cell death (GO:0012501)	1050	151	113.74	+	1.33	1.16E-03	4.05E-02
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	9	24.05	-	.37	1.15E-03	4.03E-02
organophosphate biosynthetic process (GO:0090407)	552	88	59.80	+	1.47	1.14E-03	4.02E-02
regulation of ion transmembrane transport (GO:0034765)	502	31	54.38	-	.57	1.13E-03	3.99E-02
regulation of ion transport (GO:0043269)	703	48	76.15	-	.63	1.12E-03	3.95E-02
apoptotic signaling pathway (GO:0097190)	281	51	30.44	+	1.68	1.07E-03	3.82E-02
ion transmembrane transport (GO:0034220)	870	63	94.24	-	.67	1.07E-03	3.81E-02
myeloid leukocyte mediated immunity (GO:0002444)	522	84	56.55	+	1.49	1.07E-03	3.81E-02
opsonization (GO:0008228)	72	0	7.80	-	 < 0.01	1.06E-03	3.79E-02
regulation of centrosome cycle (GO:0046605)	49	15	5.31	+	2.83	1.06E-03	3.79E-02
regulation of nucleobase-containing compound transport (GO:0032239)	15	8	1.62	+	4.92	1.05E-03	3.77E-02
neutrophil mediated immunity (GO:0002446)	497	81	53.84	+	1.50	1.05E-03	3.77E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	151	32	16.36	+	1.96	1.05E-03	3.77E-02
negative regulation of kinase activity (GO:0033673)	264	49	28.60	+	1.71	1.02E-03	3.69E-02
nuclear transport (GO:0051169)	264	49	28.60	+	1.71	1.02E-03	3.69E-02
inorganic ion transmembrane transport (GO:0098660)	637	42	69.00	-	.61	9.96E-04	3.61E-02
response to external biotic stimulus (GO:0043207)	1426	114	154.47	-	.74	9.91E-04	3.60E-02
response to other organism (GO:0051707)	1425	114	154.37	-	.74	9.88E-04	3.60E-02
